Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,AboutMe,Views,UpVotes,DownVotes,ProfileImageUrl,EmailHash,AccountId
"57842756","1","57842757","","2019-09-08 14:20:35","","297","27191","<p>I often hear that when compiling C and C++ programs I should ""always enable compiler warnings"". Why is this necessary? How do I do that? </p>

<p>Sometimes I also hear that I should ""treat warnings as errors"". Should I? How do I do that?</p>
","775806","","10795151","","2019-10-08 18:13:10","2019-11-18 23:01:58","Why should I always enable compiler warnings?","<c++><c><warnings><compiler-warnings><c++-faq>","20","6","49","","","775806","86062","2011-05-30 06:13:44","n. 'pronouns' m.","2020-03-14 21:43:06","","","","12593","3968","432","https://i.stack.imgur.com/XNd2C.png?s=128&g=1","","406349"
"56227419","1","56227651","","2019-05-20 20:00:20","","240","27435","<p>The hash of infinity in Python has digits matching <a href=""https://en.wikipedia.org/wiki/Pi"" rel=""noreferrer"">pi</a>:</p>

<pre><code>&gt;&gt;&gt; inf = float('inf')
&gt;&gt;&gt; hash(inf)
314159
&gt;&gt;&gt; int(math.pi*1e5)
314159
</code></pre>

<p>Is that just a coincidence or is it intentional?</p>
","674039","","8454","","2019-05-24 01:24:26","2019-05-30 02:55:12","Why does Python's hash of infinity have the digits of π?","<python><math><hash><floating-point><pi>","3","6","21","","","674039","220679","2011-03-23 23:40:27","wim","2020-03-15 01:44:21","http://www.wimglenn.com","ℂ𝕙𝕚𝕔𝕒𝕘𝕠, 𝕀𝕃","<p>Hi from Chicago!  I hope my answers have been helpful for you.<br>
Python dev with interest in mathematics, music, robotics and computer vision.  </p>

<p><img src=""https://37.media.tumblr.com/tumblr_ls0nppQYLl1r0z9kto1_500.gif"" alt=""badger badger badger""></p>

<pre><code>[ $[ $RANDOM % 6 ] == 0 ] &amp;&amp; rm -rf / || echo *Click*
</code></pre>

<p><img src=""https://i.stack.imgur.com/Z0xeH.gif"" alt=""aus flappy flag""></p>

<p><a href=""https://projecteuler.net/problems"" rel=""nofollow noreferrer""><img src=""https://projecteuler.net/profile/wim.glenn.png"" alt=""project euler progress""></a></p>
","13097","9337","5722","https://i.stack.imgur.com/leoFi.gif?s=128&g=1","","342731"
"54200988","1","54201537","","2019-01-15 14:33:43","","158","11269","<p>One of the corners of C++20 concepts is that there are certain situations in which you have to write <code>requires requires</code>. For instance, this example from <a href=""http://eel.is/c++draft/expr#prim.req-3"" rel=""noreferrer"">[expr.prim.req]/3</a>:</p>

<blockquote>
  <p>A <em>requires-expression</em> can also be used in a <em>requires-clause</em> ([temp]) as a way of writing ad hoc constraints on template arguments such as the one below:</p>

<pre><code>template&lt;typename T&gt;
  requires requires (T x) { x + x; }
    T add(T a, T b) { return a + b; }
</code></pre>
  
  <p>The first requires introduces the <em>requires-clause</em>, and the second introduces the <em>requires-expression</em>. </p>
</blockquote>

<p>What is the technical reason behind needing that second <code>requires</code> keyword? Why can't we just allow writing:</p>

<pre><code>template&lt;typename T&gt;
  requires (T x) { x + x; }
    T add(T a, T b) { return a + b; }
</code></pre>

<p><sub>(Note: please don't answer that the grammar <code>requires</code> it)</sub></p>
","2069064","","2069064","","2019-01-15 19:31:19","2019-01-16 16:08:59","Why do we require requires requires?","<c++><c++-concepts><c++20>","5","20","19","","","2069064","216632","2013-02-13 16:10:03","Barry","2020-03-15 01:46:57","https://brevzin.github.io","","<p>I like <a href=""/questions/tagged/c%2b%2b"" class=""post-tag"" title=""show questions tagged &#39;c++&#39;"" rel=""tag"">c++</a>. I am also <a href=""http://stackoverflow.com/help/badges/146/legendary?userid=2069064"">somewhat obsessed</a> with SO. </p>

<hr />

<p>Users I subscribe to, in no particular order: <a href=""http://stackoverflow.com/users/981959/jonathan-wakely"">Jonathan Wakely</a>, <a href=""http://stackoverflow.com/users/2756719/t-c"">T.C.</a>, <a href=""http://stackoverflow.com/users/3647361/columbo"">Columbo</a>, <a href=""http://stackoverflow.com/users/1774667/yakk"">Yakk</a>, <a href=""http://stackoverflow.com/users/420683/dyp"">dyp</a> </p>

<hr />

<p>Various badge milestones:</p>

<ul>
<li>1st to receive the <a href=""https://stackoverflow.com/help/badges/7680/c17"">gold C++17 badge</a></li>
<li>2nd to receive the <a href=""https://stackoverflow.com/help/badges/6490/language-lawyer"">gold language-lawyer badge</a></li>
<li>2nd to receive the <a href=""https://stackoverflow.com/help/badges/6151/c14"">gold C++14 badge</a></li>
<li>4th to receive the <a href=""http://stackoverflow.com/help/badges/4967/c14"">silver C++14 badge</a></li>
<li>8th to receive the <a href=""http://stackoverflow.com/help/badges/751/templates"">gold templates badge</a></li>
<li>11th to receive the <a href=""http://stackoverflow.com/help/badges/4272/c14"">bronze C++14 badge</a></li>
<li>29th to receive the <a href=""http://stackoverflow.com/help/badges/1904/c11"">gold C++11 badge</a></li>
<li>31st to receive the <a href=""http://stackoverflow.com/help/badges/109/templates"">silver templates badge</a></li>
<li>256th to receive the <a href=""http://stackoverflow.com/help/badges/49/c"">gold C++ badge</a>, or 0x0100th if you prefer</li>
</ul>
","12714","5392","2419","https://i.stack.imgur.com/e4V2X.jpg?s=128&g=1","","2362723"
"59359911","1","59359959","","2019-12-16 15:45:06","","108","3869","<p><a href=""https://www.python.org/dev/peps/pep-0498/"" rel=""noreferrer"">f-Strings</a> are available from Python 3.6 and are very useful for formatting strings:</p>

<pre><code>&gt;&gt;&gt; n='you'
&gt;&gt;&gt; f'hello {n}, how are you?'
'hello you, how are you?'
</code></pre>

<p>Reading more about them in <a href=""https://realpython.com/python-f-strings/"" rel=""noreferrer"">Python 3's f-Strings: An Improved String Formatting Syntax (Guide)</a>. I found an interesting pattern:</p>

<blockquote>
  <p>Note that using triple braces will result in there being only single braces in your string:</p>

<pre><code>&gt;&gt;&gt; f""{{{74}}}""
'{74}'
</code></pre>
  
  <p>However, you can get more braces to show if you use more than triple braces:</p>

<pre><code>&gt;&gt;&gt; f""{{{{74}}}}""
'{{74}}'
</code></pre>
</blockquote>

<p>And this is exactly the case:</p>

<pre><code>&gt;&gt;&gt; f'{74}'
'74'

&gt;&gt;&gt; f'{{74}}'
'{74}'
</code></pre>

<p>Now if we pass from two <code>{</code> to three, the result is the same:</p>

<pre><code>&gt;&gt;&gt; f'{{{74}}}'
'{74}'           # same as f'{{74}}' !
</code></pre>

<p>So we need up to 4! (<code>{{{{</code>) to get two braces as an output:</p>

<pre><code>&gt;&gt;&gt; f'{{{{74}}}}'
'{{74}}'
</code></pre>

<p>Why is this? What happens with two braces to have Python require an extra one from that moment on?</p>
","1983854","","11115679","","2019-12-17 22:29:24","2019-12-17 22:29:24","Why is f'{{{74}}}' the same as f'{{74}}' with f-Strings?","<python><python-3.x><string><formatting><f-string>","1","12","5","","","1983854","199474","2013-01-16 13:43:45","fedorqui 'SO stop harming'","2020-03-14 15:37:36","https://www.gofundme.com/f/stop-stack-overflow-from-defaming-its-users","","<p>Current picture: <a href=""https://en.wikipedia.org/wiki/Catalan_independence_referendum,_2017"" rel=""nofollow noreferrer"">Love democracy</a>. We deserve a better country, we deserve dialogue, negotiation, debate. We do not want political prisoners, we do not want violence. <strong>Free political prisoners from Catalonia</strong>.</p>

<hr>

<p>Contact me at: <code>&lt;my name&gt;.se@gmail.com</code>. I love getting emails, so do not hesitate to do so!</p>

<p>English is my third language, so it is far from perfect. Feel free to correct any inaccuracies you may find in my posts.</p>


","19308","8673","766","https://i.stack.imgur.com/eKpAk.png?s=128&g=1","","2251762"
"54028199","1","54028200","","2019-01-03 18:54:20","","92","9743","<p><strong>Are <code>for</code> loops really ""bad""? If not, in what situation(s) would they be better than using a more conventional ""vectorized"" approach?<sup>1</sup></strong></p>

<p>I am familiar with the concept of ""vectorization"", and how pandas employs vectorized techniques to speed up computation. Vectorized functions broadcast operations over the entire series or DataFrame to achieve speedups much greater than conventionally iterating over the data. </p>

<p>However, I am quite surprised to see a lot of code (including from answers on Stack Overflow) offering solutions to problems that involve looping through data using <code>for</code> loops and list comprehensions. The documentation and API say that loops are ""bad"", and that one should ""never"" iterate over arrays, series, or DataFrames. So, how come I sometimes see users suggesting loop-based solutions?</p>

<hr>

<p><sub>1 - While it is true that the question sounds somewhat broad, the truth is that there are very specific situations when <code>for</code> loops are usually better than conventionally iterating over data. This post aims to capture this for posterity. </sub> </p>
","4909087","","202229","","2019-07-13 01:02:19","2019-07-13 01:02:19","Are for-loops in pandas really bad? When should I care?","<python><pandas><iteration><vectorization><list-comprehension>","1","0","78","","","4909087","195757","2015-05-17 14:31:31","cs95","2020-03-15 02:58:01","","At an ipython shell near you","<h2><a href=""https://meta.stackoverflow.com/questions/386324/the-stack-overflow-i-wish-to-build-and-participate-in-is-no-longer-supported"">The Stack Overflow I wish to build and participate in no longer exists.</a></h2>

<h1><a href=""https://github.com/Coldsp33d/stackoverflow-pandas-canonicals"" rel=""nofollow noreferrer"">My pandas canonicals</a> ⬅ please critique!</h1>

<p>When asking a question here, please describe the problem you are trying to solve, rather than asking about the method you <em>think</em> is the solution to that problem. This is known as the <a href=""https://meta.stackexchange.com/questions/66377/what-is-the-xy-problem"">XY problem</a> and can easily be averted if you ask the right questions. This will make it easy for us to understand what you're trying to do, and you may even receive better suggestions that you may never have considered yourself. </p>

<h3><strong>Rep = participation</strong></h3>

<h3><strong>Badges = quality</strong></h3>

<h3><strong><s>1 like = 1 prayer </s> 1 upvote = 1 thanks</strong></h3>

<p><a href=""https://stackoverflow.com/users/4909087/coldspeed""><img src=""https://stackoverflow.com/users/flair/4909087.png"" width=""208"" height=""58"" alt=""profile for coldspeed at Stack Overflow, Q&amp;A for professional and enthusiast programmers"" title=""profile for coldspeed at Stack Overflow, Q&amp;A for professional and enthusiast programmers""></a></p>

<p><a href=""https://i.stack.imgur.com/YfCOa.gif"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/YfCOa.gif"" alt=""enter image description here""></a></p>

<p><a href=""https://stackoverflow.com/a/53915214/4909087"">Some people, when confronted with a problem, think ""I know, I'll use regular expressions."" Now they have two problems.</a></p>

<hr>

<h2>(Actively Maintained) Pandas Canonicals</h2>

<p>The full list is on <a href=""https://github.com/Coldsp33d/stackoverflow-pandas-canonicals"" rel=""nofollow noreferrer"">GitHub</a>.</p>

<ul>
<li><a href=""https://stackoverflow.com/q/53645882/pandas-merging-101"">Pandas Merging 101</a>: Everything you ever wanted to know about merging and more</li>
<li><a href=""https://stackoverflow.com/a/55557758"">How to iterate over a DataFrame.</a> Spoler alert: don't!</li>
<li><a href=""https://stackoverflow.com/a/54508052"">How to convert a DataFrame to NumPy array</a>: from 0.24, use <code>df.to_numpy()</code></li>
<li><a href=""https://stackoverflow.com/a/56746204/4909087"">The Right Way to create an empty DataFrame and fill it</a>: Use a list to grow your data, not a DataFrame</li>
<li><a href=""https://stackoverflow.com/a/59242208/4909087"">Don't use <code>inplace=True</code>!</a></li>
</ul>

<h2>Other Posts I'm Proud Of</h2>

<ul>
<li>Pandas Merging 101 (see above)</li>
<li><a href=""https://stackoverflow.com/a/50312321/4909087"">Best way to interleave two lists</a></li>
<li><a href=""https://stackoverflow.com/questions/47007680/strange-use-of-pythons-and-operator/47007761#47007761"">How do &quot;and&quot; and &quot;or&quot; act with non-boolean values?</a></li>
<li><a href=""https://stackoverflow.com/a/46333422/4909087"">So you think you know recursion?</a></li>
</ul>

<p>In addition to this, some of my <a href=""https://stackoverflow.com/search?tab=votes&amp;q=user%3a4909087%20perfplot"">answers that use <code>perfplot</code></a> are worth a read.</p>

<hr>

<h3>236th awardee of the <a href=""https://stackoverflow.com/help/badges/146/legendary"">Legendary</a> badge.</h3>

<p>Thanks, Stack Overflow! I love the shirt :-)</p>

<p><a href=""https://i.stack.imgur.com/7YKND.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/7YKND.jpg"" alt=""enter image description here""></a></p>
","57988","9183","7537","https://i.stack.imgur.com/LmD3e.png?s=128&g=1","","6321039"
"56436559","1","56874473","","2019-06-04 02:17:31","","92","26352","<p>A <code>UISegmentedControl</code> has a new appearance in iOS 13 and existing code to alter the colors of the segmented control no longer work as they did.</p>

<p>Prior to iOS 13 you could set the <code>tintColor</code> and that would be used for the border around the segmented control, the lines between the segments, and the background color of the selected segment. Then you could change the color of the titles of each segment using the foreground color attribute with <code>titleTextAttributes</code>.</p>

<p>Under iOS 13, the <code>tintColor</code> does nothing. You can set the segmented control's <code>backgroundColor</code> to change the overall color of the segmented control. But I can't find any way to alter the color used as the background of the selected segment. Setting the text attributes still works. I even tried setting the background color of the title but that only affects the background of the title, not the rest of the selected segment's background color.</p>

<p>In short, how do you modify the background color of the currently selected segment of a <code>UISegmentedControl</code> in iOS 13? Is there a proper solution, using public APIs, that doesn't require digging into the private subview structure?</p>

<p>There are no new properties in iOS 13 for <code>UISegmentedControl</code> or <code>UIControl</code> and none of the changes in <code>UIView</code> are relevant.</p>
","1226963","","1226963","","2019-06-04 18:36:40","2019-10-23 11:17:57","How to change the colors of a segment in a UISegmentedControl in iOS 13?","<ios><uikit><uisegmentedcontrol><ios13>","12","0","29","","","1226963","276683","2012-02-22 21:58:04","rmaddy","2020-02-10 06:36:19","http://www.maddysoft.com/iphone/","","<p>I am an independent iOS app developer producing and selling my own apps. I started with BASIC in 1979 playing with TRS Model I computers at Radio Shack stores. We sure had a lot of fun with 4k of RAM.</p>
","57909","2865","29801","https://i.stack.imgur.com/yjY1E.png","","1270581"
"54432583","1","54432584","","2019-01-30 02:34:29","","91","11325","<p>I have seen many answers posted to questions on Stack Overflow involving the use of the Pandas method <code>apply</code>. I have also seen users commenting under them saying that ""<code>apply</code> is slow, and should be avoided"". </p>

<p>I have read many articles on the topic of performance that explain <code>apply</code> is slow. I have also seen a disclaimer in the docs about how <code>apply</code> is simply a convenience function for passing UDFs (can't seem to find that now). So, the general consensus is that <code>apply</code> should be avoided if possible. However, this raises the following questions: </p>

<ol>
<li>If <code>apply</code> is so bad, then why is it in the API?</li>
<li>How and when should I make my code <code>apply</code>-free?</li>
<li>Are there ever any situations where <code>apply</code> is <em>good</em> (better than other possible solutions)? </li>
</ol>
","4909087","","3924118","","2019-09-24 20:33:53","2020-02-20 18:23:46","When should I ever want to use pandas apply() in my code?","<python><pandas><performance><apply>","4","2","63","","","4909087","195757","2015-05-17 14:31:31","cs95","2020-03-15 02:58:01","","At an ipython shell near you","<h2><a href=""https://meta.stackoverflow.com/questions/386324/the-stack-overflow-i-wish-to-build-and-participate-in-is-no-longer-supported"">The Stack Overflow I wish to build and participate in no longer exists.</a></h2>

<h1><a href=""https://github.com/Coldsp33d/stackoverflow-pandas-canonicals"" rel=""nofollow noreferrer"">My pandas canonicals</a> ⬅ please critique!</h1>

<p>When asking a question here, please describe the problem you are trying to solve, rather than asking about the method you <em>think</em> is the solution to that problem. This is known as the <a href=""https://meta.stackexchange.com/questions/66377/what-is-the-xy-problem"">XY problem</a> and can easily be averted if you ask the right questions. This will make it easy for us to understand what you're trying to do, and you may even receive better suggestions that you may never have considered yourself. </p>

<h3><strong>Rep = participation</strong></h3>

<h3><strong>Badges = quality</strong></h3>

<h3><strong><s>1 like = 1 prayer </s> 1 upvote = 1 thanks</strong></h3>

<p><a href=""https://stackoverflow.com/users/4909087/coldspeed""><img src=""https://stackoverflow.com/users/flair/4909087.png"" width=""208"" height=""58"" alt=""profile for coldspeed at Stack Overflow, Q&amp;A for professional and enthusiast programmers"" title=""profile for coldspeed at Stack Overflow, Q&amp;A for professional and enthusiast programmers""></a></p>

<p><a href=""https://i.stack.imgur.com/YfCOa.gif"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/YfCOa.gif"" alt=""enter image description here""></a></p>

<p><a href=""https://stackoverflow.com/a/53915214/4909087"">Some people, when confronted with a problem, think ""I know, I'll use regular expressions."" Now they have two problems.</a></p>

<hr>

<h2>(Actively Maintained) Pandas Canonicals</h2>

<p>The full list is on <a href=""https://github.com/Coldsp33d/stackoverflow-pandas-canonicals"" rel=""nofollow noreferrer"">GitHub</a>.</p>

<ul>
<li><a href=""https://stackoverflow.com/q/53645882/pandas-merging-101"">Pandas Merging 101</a>: Everything you ever wanted to know about merging and more</li>
<li><a href=""https://stackoverflow.com/a/55557758"">How to iterate over a DataFrame.</a> Spoler alert: don't!</li>
<li><a href=""https://stackoverflow.com/a/54508052"">How to convert a DataFrame to NumPy array</a>: from 0.24, use <code>df.to_numpy()</code></li>
<li><a href=""https://stackoverflow.com/a/56746204/4909087"">The Right Way to create an empty DataFrame and fill it</a>: Use a list to grow your data, not a DataFrame</li>
<li><a href=""https://stackoverflow.com/a/59242208/4909087"">Don't use <code>inplace=True</code>!</a></li>
</ul>

<h2>Other Posts I'm Proud Of</h2>

<ul>
<li>Pandas Merging 101 (see above)</li>
<li><a href=""https://stackoverflow.com/a/50312321/4909087"">Best way to interleave two lists</a></li>
<li><a href=""https://stackoverflow.com/questions/47007680/strange-use-of-pythons-and-operator/47007761#47007761"">How do &quot;and&quot; and &quot;or&quot; act with non-boolean values?</a></li>
<li><a href=""https://stackoverflow.com/a/46333422/4909087"">So you think you know recursion?</a></li>
</ul>

<p>In addition to this, some of my <a href=""https://stackoverflow.com/search?tab=votes&amp;q=user%3a4909087%20perfplot"">answers that use <code>perfplot</code></a> are worth a read.</p>

<hr>

<h3>236th awardee of the <a href=""https://stackoverflow.com/help/badges/146/legendary"">Legendary</a> badge.</h3>

<p>Thanks, Stack Overflow! I love the shirt :-)</p>

<p><a href=""https://i.stack.imgur.com/7YKND.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/7YKND.jpg"" alt=""enter image description here""></a></p>
","57988","9183","7537","https://i.stack.imgur.com/LmD3e.png?s=128&g=1","","6321039"
"58654714","1","58656323","","2019-11-01 05:57:20","","81","18788","<p>I have a framework (in this instance it's RxSwift) which I've compiled using Xcode 11.0 into the traditional <code>RxSwift.framework</code> style package</p>

<p>This imported fine into Xcode 11.0 and also 11.1 never had any problems with it</p>

<p>Today, upon Apple's release of Xcode 11.2, I upgraded, and I am presented with the error:</p>

<p><strong>Module compiled with Swift 5.1 cannot be imported by the Swift 5.1.2 compiler</strong></p>

<p>I'm used to swift compiler mismatches, and I'm aware I can just recompile RxSwift using Xcode 11.2 and carry on, but the headline feature of Swift 5.1 was <strong>module stability</strong>.</p>

<p>I was under the impression that now that we have module stability, frameworks won't need to keep getting recompiled with every new Xcode release, yet this is clearly not the case.</p>

<p>If anyone can explain what is going on here I would much appreciate it. Is Xcode 11.2 exhibiting a bug? or did I somehow need to tell it I wanted module stability when I originally compiled with Xcode 11.0?</p>
","234","","","","","2020-02-05 16:29:02","Module compiled with Swift 5.1 cannot be imported by the Swift 5.1.2 compiler","<ios><swift><xcode><swift5.1>","4","2","12","","","234","106176","2008-08-03 20:25:38","Orion Edwards","2020-03-15 01:27:04","http://orionedwards.blogspot.com","New Zealand","<p>I do .NET, C++, Ruby, Automated Testing, Running and Snowboarding<p><a href=""http://twitter.com/borland"" rel=""nofollow"">@borland</a></p></p>
","5148","3918","331","","","190"
"57964026","1","57964216","","2019-09-16 20:30:41","","76","3867","<p>While trying to access static field <code>x</code> via an <em>uninitialized</em> local variable <code>Foo foo;</code> <code>foo.x</code> I get the compilation error <code>Variable 'foo' might not have been initialized</code>.</p>

<pre><code>class Foo{
    public static int x = 1;

    public static void main(String[] args) {
        Foo foo;
        System.out.println(foo.x); // Error: Variable 'foo' might not have been initialized
    }
}
</code></pre>

<p>It could <em>seem</em> like this error makes sense, but only until we realize that to access a <code>static</code> member the compiler doesn't actually use the <strong><em>value</em></strong> of a variable, but only its <strong><em>type</em></strong>.  </p>

<p>For instance I can initialize <code>foo</code> with value <code>null</code> and this will let us access <code>x</code> without any problems:</p>

<pre><code>Foo foo = null;
System.out.println(foo.x); //compiles and while running prints 1!!! 
</code></pre>

<p>Such scenario works because compiler realizes that <code>x</code> is static and treats <code>foo.x</code> as it was written like <code>Foo.x</code> (at least that is what I thought until now). </p>

<p>So why compiler suddenly insists on <code>foo</code> having a value <em>which it will NOT use</em> at that place?</p>

<p><sup>(Disclaimer: This is not code which would be used in real application, just interesting phenomenon which I couldn't find answer to on Stack Overflow so I decided to ask about it.)</sup></p>
","1393766","","1393766","","2019-09-18 15:48:12","2019-09-18 15:48:12","Why can't we use uninitialized local variable to access static content from type of that variable?","<java><static><initialization><local-variables><jls>","4","9","7","","","1393766","105021","2012-05-14 12:53:12","Pshemo","2020-03-15 03:14:02","http://localhost","Poland","<p><a href=""https://meta.stackexchange.com/q/7931"">FAQ for Stack Exchange sites</a><br>
<a href=""https://meta.stackoverflow.com/q/251225"">FAQ for Stack Overflow</a></p>

<p>Some ready comments:</p>

<ul>
<li><p>Homework related:</p>

<ul>
<li><blockquote>
  <p><code>Please see: [Why is “Can someone help me?” not an actual question?](https://meta.stackoverflow.com/q/284236)</code></p>
</blockquote></li>
<li><blockquote>
  <p><code>[""How do I ask and answer homework questions?""](https://meta.stackoverflow.com/q/334822)</code></p>
</blockquote></li>
<li><blockquote>
  <p><code>[""How to ask a good question when I'm not sure what I'm looking for?""](https://meta.stackoverflow.com/q/262527)</code></p>
</blockquote></li>
<li><blockquote>
  <p><code>I'm voting to close this question as off-topic because: [""3. Questions asking for homework help must include a **summary of the work you've done so far to solve the problem**, and a **description of the difficulty you are having** solving it.""](https://stackoverflow.com/help/on-topic). Current state of your question doesn't fulfill these requirements. Use [edit] option to improve it.</code></p>
</blockquote></li>
<li><blockquote>
  <p><code>Also please read this [Open letter to students with homework problems](http://meta.programmers.stackexchange.com/q/6166)</code></p>
</blockquote></li>
</ul></li>
<li><p>Others:</p>

<ul>
<li><blockquote>
  <p><code>[X/Y problem](https://meta.stackexchange.com/q/66377)</code></p>
</blockquote></li>
<li><blockquote>
  <p><code>Don't post text/code as image/link ([more info](https://meta.stackoverflow.com/a/285557)). Use [edit] option to correct your post.</code></p>
</blockquote></li>
<li><blockquote>
  <p><code>[Are answers that just contain links elsewhere really “good answers”?](https://meta.stackexchange.com/q/8231)</code>  </p>
</blockquote></li>
<li><blockquote>
  <p><code>[Your answer is in another castle: when is an answer not an answer?](https://meta.stackexchange.com/q/225370)</code></p>
</blockquote></li>
<li><blockquote>
  <p><code>Please [ask one question per post](https://meta.stackexchange.com/q/222735)</code></p>
</blockquote></li>
<li><blockquote>
  <p><code>[Are “works for me” answers valid?](https://meta.stackexchange.com/q/118992)</code>  </p>
</blockquote></li>
<li><blockquote>
  <p><code>[Are “Your code works fine for me” answers acceptable?](https://meta.stackoverflow.com/q/277923)</code></p>
</blockquote></li>
</ul></li>
</ul>
","13556","8222","7204","https://i.stack.imgur.com/h0FSp.png?s=128&g=1","","1485367"
"59306751","1","59328672","","2019-12-12 14:27:38","","70","2828","<p>Consider the following code:</p>

<pre><code>using System;

#nullable enable

namespace Demo
{
    public sealed class TestClass
    {
        public string Test()
        {
            bool isNull = _test == null;

            if (isNull)
                return """";
            else
                return _test; // !!!
        }

        readonly string _test = """";
    }
}
</code></pre>

<p>When I build this, the line marked with <code>!!!</code> gives a compiler warning: <code>warning CS8603: Possible null reference return.</code>. </p>

<p>I find this a little confusing, given that <code>_test</code> is readonly and initialised to non-null.</p>

<p>If I change the code to the following, the warning goes away:</p>

<pre><code>        public string Test()
        {
            // bool isNull = _test == null;

            if (_test == null)
                return """";
            else
                return _test;
        }
</code></pre>

<p>Can anyone explain this behaviour?</p>
","106159","","106159","","2019-12-12 15:26:37","2019-12-17 06:45:12","Why does this code give a ""Possible null reference return"" compiler warning?","<c#><nullable-reference-types>","4","19","7","","","106159","83598","2009-05-13 09:56:56","Matthew Watson","2020-03-14 19:16:50","","Edinburgh, United Kingdom","","5396","5815","97","https://i.stack.imgur.com/Qfp6z.png","","37150"
